index,question,answer,Usage
test_0059,কেরেনকে কবে গ্রেফতার করা হয়েছিল?,ফেব্রুয়ারী ২০০৮।,Private
test_0060,নাদিয়া টোনচেভা কোন দুটি উপাধি পেয়েছেন?,ফিদে মাস্টার এবং ফিদে নারী ইন্টারন্যাশনাল মাস্টার।,Public
test_0061,"সহবাস শব্দটি কী বোঝায়, বিশেষ করে হিন্দুদর্শনের পরিপ্রেক্ষিতে?",একসাথে বসবাস করা বা ঘনিষ্ঠ সাহচর্য।,Public
test_0062,এস. পাত্তাবিরামান কোন বিধানসভা কেন্দ্রের প্রতিনিধিত্ব করেছেন?,তিরুভাল্লুর।,Public
test_0063,বিপিএমএ কবথেকে তার কার্যক্রম সম্প্রসারণ শুরু করে?,২০০৪।,Public
test_0064,কোসতাস মারতাকিসকে পূর্বতন সোভিয়েত দেশগুলিতে একটি ইংরেজি অ্যালবাম প্রকাশের জন্য কোন সংস্থা বুক করে নেয়?,সোনি বিএমজি রাশিয়া।,Public
test_0065,টিল্ডা কী ভূমিকা পালন করে?,যান্ত্রিক টাইপরাইটার।,Private
test_0066,সিজিয়াম সালফাইড তৈরি করার জন্য কোন দুটি পদার্থের প্রয়োজন হয়?,অ্যামোনিয়া বা ন্যাপথলিন।,Public
test_0067,ফিশার তথ্যের গুরুত্বের ওপর কোন পরিসংখ্যানবিদ জোড় দিয়েছিলেন?,রোনাল্ড ফিশার।,Public
test_0068,মেজর জেনারেল হাবিব উল্লাহ বাংলাদেশ সেনাবাহিনীতে যোগদানের আগে কোথায় প্রশিক্ষণ গ্রহণ করেন?,বাংলাদেশ মিলিটারি একাডেমি।,Public
test_0069,"রামশা খান কোন নাটকে অভিনয় করার জন্য ""লাক্স স্টাইল অ্যাওয়ার্ড ফর বেস্ট টিভি অ্যাক্ট্রেস"" জিতেছিলেন?",হাম তুম।,Private
test_0070,"অমন গুপ্তা ""শার্ক ট্যাঙ্ক ইন্ডিয়া"" অনুষ্ঠানে কী ভূমিকা পালন করেন?",বিচারক ও বিনিয়োগকারী।,Public
test_0071,ফরিদ খান হত্যার পর নিরাপত্তা বাহিনী কী করে?,যৌথ অভিযান পরিচালনা করে।,Public
test_0072,গুরু নানক দেব কতগুলি স্তবক একত্রে রচনা করেছিলেন কোনো একটি ঘটনা উপলক্ষে?,৯টি।,Private
test_0073,তুষার কান্তি লয়া কোন রাজ্যের ২০০১ সালের বিধানসভা নির্বাচনে মেদিনীপুরের সাবোং আসনে প্রতিদ্বন্দ্বিতা করেছিলেন?,পশ্চিমবঙ্গ।,Public
test_0074,সালবেগের জন্ম কোন সময়ে নির্ধারণ করা হয়েছে?,১৬০৭-১৬০৮ খ্রিস্টাব্দ।,Public
test_0075,হতাশা এবং তাড়াহুড়োর মধ্যে কোন সম্পর্ক রয়েছে?,মানসিক অবস্থা।,Public
test_0076,কখন কলকাতার দুটি রাষ্ট্র-চালিত বিশ্ববিদ্যালয় ক্যাম্পাসে সভা করার জন্য ঐশী ঘোষকে অনুমতি দিতে অস্বীকার করা হয়েছিল?,২০২০ সালের ফেব্রুয়ারি।,Public
test_0077,জনকপুরের কোন বিশ্ববিদ্যালয় উচ্চশিক্ষার জন্য বিদ্যার্থীদের সুযোগ প্রদান করে?,রাজর্ষি জনক বিশ্ববিদ্যালয়।,Private
test_0078,শৈব সিদ্ধান্ত মন্দিরটি কোন সালে সৎগুরু শিবা সুব্রামুনিয়াস্বামী দ্বারা প্রতিষ্ঠিত হয়েছিল?,১৯৪৯।,Public
test_0079,পাত্রিয়া আমাদা কোন জাতীয় সঙ্গীতকে প্রতিস্থাপন করেছে?,"ভিভা, ভিভা এ ফ্রেলিমো।",Public
test_0080,ভগবদ্গীতায় অক্রিয় শব্দটি কীভাবে ব্যবহৃত হয়?,সমস্ত আকাঙ্ক্ষা পরিত্যাগকারী ব্যক্তি।,Public
test_0081,আধ্যাত্মবাদী ধারণা অনুসারে আত্মিক জগত কীভাবে বিবেচিত হয়?,সহজাতভাবে ভাল এবং সত্যের সাথে সম্পর্কিত।,Public
test_0082,জর্জ কেনেথ ম্যালরি কবে জন্মগ্রহণ করেন?,"১৪ ফেব্রুয়ারি, ১৯০০।",Public
test_0083,তামিলনাড়ু ফুটবল দল ১৯৭২ সালের পূর্বে কী নামে প্রতিযোগিতা করত?,মাদ্রাজ ফুটবল দল।,Public
test_0084,বেসিসের বিষয়গুলি পরিচালনা ও নীতি নির্দেশিকা নির্ধারণের জন্য কোন পর্ষদের সার্বিক দায়িত্ব রয়েছে?,পরিচালনা পর্ষদ।,Private
test_0085,ফকার কোন দেশে প্রত্যাবর্তন করে?,নেদারল্যান্ডস।,Private
test_0086,গুজরাট শব্দটির দ্ব্যর্থতা নিরসনের জন্য কী প্রয়োজন?,বিভিন্ন ধরনের স্থান।,Public
test_0087,খ্রিস্টানরা যিশুকে কীভাবে বিবেচনা করে?,মশীহ এবং ঈশ্বরপুত্র।,Public
test_0088,সাহিত্য অকাদেমি পুরস্কার বিজয়ীদের তালিকা কোন দুটি ভাষার সাথে সম্পর্কিত?,বাংলা এবং কোঙ্কণি।,Public
test_0089,সম্ভারণ রাজার শাসনামলে তাঁর প্রজাদের উপর কোন বিপর্যয় নেমে আসে?,"দুর্ভিক্ষ, খরা ও রোগব্যাধির পাশাপাশি সব ধরনের প্লেগ।",Public
test_0090,বিএমডব্লিউ প্রতিষ্ঠানটি কখন প্রতিষ্ঠিত হয়েছিল?,১৯১৬।,Private
test_0091,ইউনিভার্সাল স্টুডিওস সিঙ্গাপুরের সাথে কোন শহরের নাম উল্লেখ করা হয়েছে?,নিউ ইয়র্ক সিটি।,Public
test_0092,মেরোজাইগোট গঠনের ক্ষেত্রে জেনেটিক উপাদান স্থানান্তরের ভূমিকা কী?,গুরুত্বপূর্ণ।,Public
test_0093,কোন বছরের গ্রীষ্মকালীন অলিম্পিকে সাঁতার – মহিলাদের ২০০ মিটার ব্যাকস্ট্রোক ইভেন্টে রেকর্ড গড়া হয়?,২০০৮।,Private
test_0094,রাজা রানা বাহাদুর শাহ কত সাল থেকে কত সাল পর্যন্ত বারাণসীতে নির্বাসিত হন?,১৮০০ থেকে ১৮০৪।,Public
test_0095,কুলপি রেলওয়ে স্টেশন কোন রেল লাইনে অবস্থিত?,শিয়ালদহ–নামখানা লাইন।,Private
test_0096,পঙ্কজ কুমার মল্লিককে ভারতীয় চলচ্চিত্রে অবদানের জন্য কোন পুরস্কার দিয়ে সম্মানিত করা হয়েছিল?,দাদাসাহেব ফালকে পুরস্কার।,Private
test_0097,গ্র্যান্ড ফ্লিট কোন যুদ্ধের সাথে সম্পর্কিত?,স্প্যানিশ আর্মাডা।,Public
test_0098,ফরিদ আহমদ মালিক কোন বছরে সংযুক্ত আরব আমিরাতের বিরুদ্ধে তার একদিনের আন্তর্জাতিক (ওডিআই) অভিষেক করেন?,২০১৪।,Private
test_0099,অ্যাঞ্জেলা গসসোও কখন আর্চ এনিমি ব্যান্ডে যোগদান করেন?,২০০০ সালে।,Public
test_0100,বেলগাছিয়া পূর্ব বিধানসভা কেন্দ্র থেকে কতবার সিপিআই(এম)-এর লক্ষ্মীচরণ সেন নির্বাচিত হন?,৩।,Public
test_0101,এসিএম আইসিপিসি ২০১৮ এর ঢাকা রিজিওনাল কনটেস্ট কোন বছরে অনুষ্ঠিত হয়?,২০১৮।,Private
test_0102,ডেভিড সারনফ কোন ট্রান্সমিটার ব্যবহার করেছিলেন নিউইয়র্ক ওয়ানামেকার স্টেশন থেকে সঙ্গীত সম্প্রচার প্রদর্শনের জন্য?,এইচ.জে. রাউন্ডের হাইড্রোজেন আর্ক ট্রান্সমিটার।,Private
test_0103,বার্নস হ্রদের লেকসাইডে নেলসন বার্নসের কী ছিল?,একটি কসাইখানা।,Private
test_0104,আফ্রিকা মহাদেশের অর্থনৈতিক পরিস্থিতি কীভাবে বিশ্বের অন্যান্য মহাদেশের তুলনায় বিবেচিত হয়?,বিশ্বের দরিদ্রতম মহাদেশ।,Public
test_0105,প্রজাপতি মাছের পুচ্ছদেশে কোন ধরনের চিহ্ন দেখা যায়?,চোখের মতো দেখতে ফোঁটা দাগ।,Public
test_0106,অন্ত্যেষ্টিক্রিয়া পরিচালক মৃতদেহের সাথে কীভাবে আচরণ করে?,"মৃতদেহকে বিভিন্ন রকমের পোশাকে সজ্জিত করা, মৃতদেহ যে স্থানে বা কফিনে রাখা হয় তার সজ্জা সুন্দর করা।",Public
test_0107,নর্ড ভিপিএন রাউটারের জন্য L2TP/IPSec এবং PPTP সংযোগ প্রোটোকলগুলি কেন সরিয়ে দেওয়া হয়েছিল?,পুরোনো ও অনিরাপদ।,Public
test_0108,হিমানি বন্দ্যোপাধ্যায়ের গবেষণাপত্রটি কবে সম্পন্ন হয়েছিল?,১৯৮৮।,Private
test_0109,ডাঃ আহমেদ শহীদ কোন দুটি মেয়াদে পররাষ্ট্রমন্ত্রী ছিলেন?,মামুনের মেয়াদ এবং নাশিদের মন্ত্রিসভায়।,Public
test_0110,ওমান পুরুষ জাতীয় ফিল্ড হকি দল কোন ধরনের খেলায় অংশগ্রহণ করে?,আন্তর্জাতিক ফিল্ড হকি।,Private
test_0111,কম্পটক্স কেমিক্যাল ড্যাশবোর্ড ব্যবহারকারীদের কী ধরনের তথ্য সংগ্রহ করতে দেয়?,বিভিন্ন ধরনের পরিবেশগত তথ্য।,Public
test_0112,সোনারগাঁও উপজেলার অর্থনৈতিক গুরুত্ব কোন সময় থেকে শুরু হয়?,প্রাচীন কাল।,Private
test_0113,নভেম্বর ২০৪০ সালের চন্দ্রগ্রহণের সাথে কোন বছর সম্পর্কিত?,২০৪০।,Private
test_0114,ডাঃ সিমস কোন কারণে আলাবামা ছেড়ে যেতে বাধ্য হন?,স্বাস্থ্যের কারণে।,Public
test_0115,কাবুলে পাওয়া ভারতীয় মুদ্রাগুলি কোন ধরনের?,পঞ্চ-চিহ্নিত।,Public
test_0116,স্থান-নাম তত্ত্ব কোন বৃহত্তর জ্ঞানের শাখার অন্তর্ভুক্ত?,নামতত্ত্ব।,Private
test_0117,ইউনিলিভার মেন্টাডেন্ট মার্কাটি কোন সালে চার্চ অ্যান্ড ডোয়াইট কোম্পানির কাছে বিক্রি করেছিল?,২০০৩।,Public
test_0118,চার্টার্ড সেক্রেটারিয়াল কোর্সের প্রতিটি পেপারে কত নম্বর থাকে?,100।,Private
test_0119,ডি. রাজা রেড্ডি কোন বইটির সহ-রচনা করেন?,"""এন্ডেমিক স্কেলেটাল ফ্লুরোসিস""।",Public
test_0120,কোণ ত্রিখণ্ডনের সমস্যা সমাধানের জন্য কী প্রয়োজন পড়ে?,ঘন মূল নেয়া।,Public
test_0121,প্রকাশ শব্দটির ব্যাখ্যায় কী জড়িত?,বিভিন্ন পদ।,Public
test_0122,কবে এবং কোন অভিযোগের জন্য ঋতব্রত বন্দ্যোপাধ্যায়কে সিপিএম পার্টির সদস্যপদ থেকে বরখাস্ত করা হয়েছিল?,"২ জুন ২০১৭, নৈতিক স্খলন এবং পার্টির গোপনীয়তা ফাঁস করার অভিযোগ।",Public
test_0123,মৌরিতানিয়ার জাতীয় সঙ্গীতের সুর কে দিয়েছেন?,তোলিয়া নিকিপ্রউইজকি।,Private
test_0124,শাকম্ভরী দেবী কার দেবী ছিলেন?,চৌহান রাজপুত।,Public
test_0125,২৪তম মেরিল-প্রথম আলো পুরস্কার অনুষ্ঠানটি কবে অনুষ্ঠিত হয়?,৮ই সেপ্টেম্বর ২০২৩।,Public
test_0126,মোহাম্মদ শিহাব কত তারিখ পর্যন্ত স্পিকার হিসাবে দায়িত্ব পালন করেন?,২৮ মে ২০০৯।,Public
test_0127,সাকাচেপ ভাষাটি কোন ভাষার সাথে ঘনিষ্ঠভাবে জড়িত?,মার ভাষা।,Public
test_0128,কায়রান কাজীকে তার অকাল শিক্ষাগত কৃতিত্বের জন্য কীভাবে চিহ্নিত করা হয়?,"""আশ্চর্য শিশু""।",Private
test_0129,সম্ভাব্যতা তত্ত্বের কেন্দ্রীয় বিষয়গুলির মধ্যে কী রয়েছে?,"বিচ্ছিন্ন এবং অবিচ্ছিন্ন র্যান্ডম ভেরিয়েবল, সম্ভাব্যতা বন্টন এবং স্টোকাস্টিক প্রক্রিয়াগুলি।",Private
test_0130,সলোমন আর গুগেনহাইম মিউজিয়ামের মূল গ্যালারিতে কোন বৈশিষ্ট্য রয়েছে?,একটি ছয়-তলা হেলিকাল র্্যাম্প এবং একটি কেন্দ্রীয় সিলিং স্কাইলাইট।,Public
test_0131,শার্লি টেম্পলের চলচ্চিত্রগুলো কোথায় মিলিয়ন মিলিয়ন ডলার আয় করেছে?,মার্কিন যুক্তরাষ্ট্র এবং কানাডা।,Public
test_0132,জেমস ডব্লিউ. অ্যামসের জন্ম ও মৃত্যুর মধ্যে কত বছর ব্যবধান ছিল?,৭৯ বছর।,Public
test_0133,"গ্যারি কিলহফনারের ""মানব পেশার মডেল"" অনুসারে ইচ্ছা কীভাবে মানুষের আচরণের উপর কাজ করে?","মূল্যবোধ, আগ্রহ ও ব্যক্তিগত কর্মক্ষমতা সম্পর্কে স্ব-কার্যকারিতা।",Private
test_0134,রবার্ট ডব্লিউ. হলেনহর্স্ট কীসের জন্য স্মরণীয় হয়েছিলেন?,হলেনহর্স্ট প্লাক বর্ণনা করার জন্য।,Public
test_0135,গণসঙ্গীতের মূল উদ্দেশ্য কী?,"রাজনৈতিক-সামাজিক-সাংস্কৃতিক শোষণ, নির্যাতন, অত্যাচার অনাচারের বিরুদ্ধে গণ মানুষকে উদ্দীপ্ত করা।",Public
test_0136,নয়নতারা উদ্ভিদের পরিবারের নাম কী?,Apocynaceae।,Public
test_0137,ফতেপুর ইউনিয়নের নামকরণ কীভাবে হয়েছে?,ঐতিহাসিক ঘটনা ও স্থানীয় ঐতিহ্যের উপর ভিত্তি করে।,Public
test_0138,শিমুল মুস্তাফা কবে একুশে পদক পান?,২০২৪।,Public
test_0139,সূর্যমুখীর তেলের কোলেস্টেরলের মাত্রা কেমন?,অত্যন্ত কম।,Public
test_0140,ফ্লামি কোন সিনেমায় অভিনয় করেছিল যা ১৯৪৬ সালে মুক্তি পেয়েছিল?,মাই ডগ শীপ।,Public
test_0141,অ্যালুমিনিয়াম ফ্লোরাইড ব্যবহার করার সময় কোন বিশেষ স্বচ্ছতার প্রয়োজন হয়?,দূর UV স্বচ্ছতা।,Public
test_0142,জগন্নাথ মন্দিরে মহাপ্রসাদ কাদের নিবেদন করা হয়?,ভগবান জগন্নাথ এবং বিমলা দেবী।,Public
test_0143,কাঠামোর ধরনগুলির মধ্যে কী রয়েছে যা এক-থেকে-অনেক সম্পর্কের ক্যাসকেড হিসাবে বর্ণনা করা যেতে পারে?,একটি শ্রেণিক্রম।,Public
test_0144,জর্জ গ্রেগরি বার্কলের চিকিৎসাবিদ্যার ক্ষেত্রে বিশেষত্ব কী ছিল?,হৃদ ও অন্তররোগ চিকিৎসা।,Private
test_0145,চার্লস নিকোলের লেখনীর বৈশিষ্ট্য কী?,বৈচিত্র্য।,Private
test_0146,হাফছড়ি ইউনিয়নে পুরুষ ও মহিলাদের শিক্ষার হারের মধ্যে পার্থক্য কত?,৯.৮%।,Public
test_0147,জসিম বিন হামাদ স্টেডিয়াম কোন শহরে অবস্থিত?,আল রায়ান।,Private
test_0148,ইমাম বাকির কোন অবস্থানে ছিলেন?,দ্বিতীয় ইমাম।,Public
test_0149,সান ফ্রান্সিকো ক্রনিকল বর্তমানে যুক্তরাষ্ট্রের কততম বৃহৎ দৈনিক পত্রিকা?,১২তম।,Public
test_0150,বেউলাহ মেলভিন অ্যালেন কোন বিষয়ে স্নাতক ডিগ্রি অর্জন করেন?,নৃবিজ্ঞান।,Public
test_0151,শুভমিতা বন্দ্যোপাধ্যায় কোন ক্ষেত্রে একজন বিশিষ্ট শিল্পী?,বাংলা সঙ্গীত জগত।,Public
test_0152,"নিউজিল্যান্ড ক্রিকেট দল সেপ্টেম্বর, নভেম্বর এবং ডিসেম্বর ২০২৩ সালে বাংলাদেশ সফরে কতগুলি টেস্ট ম্যাচ খেলার জন্য যাচ্ছে?",দুটি।,Private
test_0153,পোলিস্টেস গ্যালিকাস প্রজাতির শামুকখোল খেকো মৌমাছিদের মধ্যে প্রভাব বিস্তারকারী মৌমাছির প্রজনন ক্ষমতা কেমন?,বেশি।,Public
test_0154,মেরুং ইউনিয়নের আয়তন কত বর্গ কিলোমিটার?,২২৭.৯২ বর্গ কিলোমিটার।,Public
test_0155,প্রাইড অ্যান্ড প্রেজুডিস বইটির বাংলা অনুবাদক কে এবং সে কোন বই অনুবাদ করেছেন?,"তুহিন কুমার মুখোপাধ্যায়, প্রাইড অ্যান্ড প্রেজুডিস।",Public
test_0156,মহাজন সমাজতান্ত্রিক দল কোন সালের লোকসভা নির্বাচনে প্রার্থী দাড় করিয়েছিল?,২০১৪।,Public
test_0157,সরকারি বাসভবনে কি ধরনের কার্যক্রম পরিচালিত হয়?,কাজ-সম্পর্কিত ফাংশন।,Public
test_0158,বাংলাদেশ সরকারের 'রুলস অব বিজনেস-১৯৯৬' এর কোন ধারা অনুযায়ী প্রধানমন্ত্রী উপদেষ্টা নিয়োগ করতে পারেন?,৩(বি।,Public
test_0159,শ্রীপুর ইউনিয়ন কোন দেশে অবস্থিত?,বাংলাদেশ।,Public
test_0160,ডিএইচএল-এর এশিয়া-প্যাসিফিক ও উদীয়মান বাজারের সদর দপ্তর কোথায় অবস্থিত?,"সিঙ্গাপুর, মালয়েশিয়া, হংকং এবং চীন।",Private
test_0161,ভূসংস্থান শব্দ কোন শব্দের সমার্থক?,"সর্বোচ্চ সীমা, চূড়া এবং সুবিন্দু।",Public
test_0162,মিয়ানমারে বহুবিবাহ বেআইনি ঘোষণার আগে কী পরিস্থিতি ছিল?,কিছু মানুষের মধ্যে বহুবিবাহের প্রচলন।,Public
test_0163,উবুন্টু ১০.১০ সংস্করণের লক্ষ্য কী ছিল?,১০ সেকেন্ডের কম সময়ে বুট করা।,Public
